expression_française,exemple_fr,traduction_en
le gilet sans manches,Il a acheté un nouveau gilet sans manches en laine.,He bought a new wool sleeveless vest.
les chaussures,Elle a acheté de nouvelles chaussures pour la fête.,She bought new shoes for the party.
les chaussures,Les chaussures de sport sont rangées dans le placard.,The sports shoes are stored in the closet.
les chaussures,Il a perdu une chaussure en courant dans le parc.,He lost a shoe while running in the park.
les baskets,Elle a acheté des baskets rouges pour son entraînement.,She bought red sneakers for her training.
les baskets,Les baskets de Paul sont déjà pleines de boue.,Paul's sneakers are already covered in mud.
les baskets,Je préfère porter des baskets pour marcher en ville.,I prefer wearing sneakers to walk around the city.
les bottes,J'ai acheté de nouvelles bottes pour l'hiver.,I bought new boots for winter.
les bottes,Les bottes de pluie sont indispensables par temps humide.,Rain boots are essential in wet weather.
les bottes,Elle a enfilé ses bottes avant de sortir dans le jardin.,She put on her boots before going out into the garden.
les sandales,J'ai acheté de nouvelles sandales pour l'été.,I bought new sandals for the summer.
les sandales,Elle préfère porter des sandales quand il fait chaud.,She prefers to wear sandals when it's hot.
les sandales,Les sandales sont idéales pour marcher sur la plage.,The sandals are ideal for walking on the beach.
les talons,Elle adore porter des talons hauts pour les soirées.,She loves wearing high heels for parties.
les talons,Il a trébuché à cause de ses talons trop usés.,He stumbled because of his worn-out heels.
les talons,Les talons de ses chaussures claquaient sur le pavé.,The heels of her shoes clicked on the pavement.
les tongs,J'ai acheté des tongs pour aller à la plage cet été.,I bought flip-flops to go to the beach this summer.
les tongs,Les tongs sont rangées dans l'armoire jusqu'aux prochaines vacances.,The flip-flops are stored in the closet until the next vacation.
les tongs,Elle préfère porter des tongs quand il fait chaud.,She prefers to wear flip-flops when it's hot.
les pantoufles,"Après une longue journée, elle enfile ses pantoufles et se détend.","After a long day, she puts on her slippers and relaxes."
les pantoufles,Il a oublié ses pantoufles chez sa grand-mère le week-end dernier.,He forgot his slippers at his grandmother's last weekend.
les pantoufles,Les pantoufles en laine sont parfaites pour l'hiver.,Wool slippers are perfect for winter.
les chaussures de ville,Il porte toujours ses chaussures de ville pour aller au bureau.,He always wears his dress shoes to go to the office.
les chaussures de ville,"Pour le mariage, elle a choisi des chaussures de ville élégantes.","For the wedding, she chose elegant dress shoes."
les chaussures de ville,J'ai besoin de nouvelles chaussures de ville pour l'entretien d'embauche.,I need new dress shoes for the job interview.
les chaussures de sport,Il a acheté de nouvelles chaussures de sport pour le marathon.,He bought new running shoes for the marathon.
les chaussures de sport,Les chaussures de sport sont rangées dans le placard à côté des baskets.,The sports shoes are stored in the closet next to the sneakers.
les chaussures de sport,Elle préfère porter ses chaussures de sport pour aller se promener.,She prefers to wear her sneakers for going for a walk.
le sac,J'ai oublié mon portefeuille dans le sac.,I left my wallet in the bag.
le sac,Elle a acheté un nouveau sac en cuir hier.,She bought a new leather bag yesterday.
le sac,Le sac est trop lourd pour que je le porte.,The bag is too heavy for me to carry.
le sac à main,Elle a oublié son portefeuille dans le sac à main.,She forgot her wallet in the handbag.
le sac à main,Ce sac à main en cuir est très élégant et pratique.,This leather handbag is very stylish and practical.
le sac à main,J'ai trouvé le rouge à lèvres dans le fond du sac à main.,I found the lipstick at the bottom of the handbag.
le sac à dos,J'ai mis mon livre dans le sac à dos avant de partir.,I put my book in the backpack before leaving.
le sac à dos,Elle a acheté un nouveau sac à dos pour l'école.,She bought a new backpack for school.
le sac à dos,Le sac à dos est trop lourd pour que je le porte longtemps.,The backpack is too heavy for me to carry for long.
le portefeuille,J'ai oublié mon portefeuille à la maison ce matin.,I forgot my wallet at home this morning.
le portefeuille,Il a perdu son portefeuille en voyageant à l'étranger.,He lost his wallet while traveling abroad.
le portefeuille,Son portefeuille est rempli de reçus et de cartes de fidélité.,His wallet is filled with receipts and loyalty cards.
la bourse,Il a perdu beaucoup d'argent en investissant à la bourse.,He lost a lot of money investing in the stock market.
la bourse,Elle a reçu une bourse d'études pour aller à l'université.,She received a scholarship to attend university.
la bourse,La bourse a connu une forte hausse cette semaine.,The stock market experienced a significant rise this week.
les boucles d’oreilles,J'ai acheté de nouvelles boucles d'oreilles pour le mariage.,I bought new earrings for the wedding.
les boucles d’oreilles,Elle porte toujours des boucles d'oreilles assorties à sa tenue.,She always wears earrings that match her outfit.
les boucles d’oreilles,Les boucles d'oreilles en argent brillent sous la lumière.,The silver earrings shine under the light.
le collier,Elle a choisi un collier en argent pour aller avec sa robe.,She chose a silver necklace to go with her dress.
le collier,Le collier de perles qu'elle porte est un héritage de sa grand-mère.,The pearl necklace she is wearing is an inheritance from her grandmother.
le collier,Il a perdu le collier de son chien dans le parc hier.,He lost his dog's collar in the park yesterday.
le bracelet,Elle a perdu le bracelet que je lui avais offert.,She lost the bracelet I had given her.
le bracelet,Le bracelet en argent brille sous le soleil.,The silver bracelet shines in the sunlight.
le bracelet,Il porte toujours le bracelet que sa grand-mère lui a donné.,He always wears the bracelet that his grandmother gave him.
la bague,Elle a trouvé la bague parfaite pour son mariage.,She found the perfect ring for her wedding.
la bague,Il a perdu la bague que sa grand-mère lui avait offerte.,He lost the ring that his grandmother had given him.
la bague,La bague que je porte a une signification particulière.,The ring I wear has a special meaning.
la montre,J'ai oublié ma montre sur la table de la cuisine.,I left my watch on the kitchen table.
la montre,Elle a reçu une montre en cadeau pour son anniversaire.,She received a watch as a gift for her birthday.
la montre,La montre de mon grand-père ne fonctionne plus.,My grandfather's watch no longer works.
les lunettes,J'ai oublié mes lunettes à la maison ce matin.,I forgot my glasses at home this morning.
les lunettes,Elle porte des lunettes quand elle lit.,She wears glasses when she reads.
les lunettes,Les lunettes de soleil sont indispensables en été.,Sunglasses are essential in summer.
les lunettes de soleil,J'ai oublié mes lunettes de soleil à la plage hier.,I forgot my sunglasses at the beach yesterday.
les lunettes de soleil,Elle porte toujours ses lunettes de soleil quand elle conduit.,She always wears her sunglasses when she drives.
les lunettes de soleil,Les lunettes de soleil sont indispensables par temps ensoleillé.,Sunglasses are essential on sunny days.
le coton,Le coton de ce t-shirt est vraiment doux.,The cotton of this t-shirt is really soft.
le coton,Je préfère les draps en coton pour leur confort.,I prefer cotton sheets for their comfort.
le coton,Elle a acheté du fil de coton pour ses travaux de couture.,She bought cotton thread for her sewing projects.
la laine,Le pull en laine que tu portes est très joli.,The wool sweater you are wearing is very nice.
la laine,"Il fait froid, j'ai besoin de mes chaussettes en laine.","It's cold, I need my wool socks."
la laine,Elle tricote souvent des écharpes en laine pour l'hiver.,She often knits wool scarves for winter.
le cuir,J'ai acheté un nouveau sac en cuir pour l'hiver.,I bought a new leather bag for winter.
le cuir,Le cuir de ces chaussures est vraiment résistant.,The leather of these shoes is really durable.
le cuir,Elle adore l'odeur du cuir dans cette boutique.,She loves the smell of leather in this store.
la soie,Elle portait une robe en soie rouge magnifique.,She was wearing a beautiful red silk dress.
la soie,Les draps en soie sont doux et agréables au toucher.,Silk sheets are soft and pleasant to the touch.
la soie,Il a offert un foulard en soie à sa mère pour son anniversaire.,He gave his mother a silk scarf for her birthday.
le lin,J'ai acheté une chemise en lin pour l'été.,I bought a linen shirt for the summer.
le lin,Le lin est une fibre naturelle très prisée pour sa légèreté.,Linen is a highly valued natural fiber for its lightness.
le lin,Elle a choisi des draps en lin pour leur douceur.,She chose linen sheets for their softness.
le polyester,J'ai acheté une nouvelle veste en polyester pour l'hiver.,I bought a new polyester jacket for winter.
le polyester,Le polyester est souvent utilisé dans la fabrication des vêtements de sport.,Polyester is often used in the production of sportswear.
le polyester,Elle préfère les draps en coton plutôt qu'en polyester pour leur douceur.,She prefers cotton sheets over polyester for their softness.
le jean,Elle a acheté un nouveau jean hier.,She bought a new pair of jeans yesterday.
le jean,Ce jean est trop serré pour moi.,These jeans are too tight for me.
le jean,Il préfère porter un jean plutôt qu'un costume.,He prefers to wear jeans rather than a suit.
le velours,Le canapé en velours bleu ajoute une touche élégante au salon.,The blue velvet sofa adds an elegant touch to the living room.
le velours,Elle adore porter sa robe en velours rouge pour les grandes occasions.,She loves wearing her red velvet dress for special occasions.
le velours,La douceur du velours rend ce coussin particulièrement confortable.,The softness of the velvet makes this cushion particularly comfortable.
le tissu synthétique,Le tissu synthétique est souvent utilisé pour fabriquer des vêtements de sport.,Synthetic fabric is often used to make sportswear.
le tissu synthétique,J'ai acheté un canapé recouvert de tissu synthétique pour faciliter l'entretien.,I bought a sofa covered in synthetic fabric for easier maintenance.
le tissu synthétique,Ce magasin propose une large gamme de tissu synthétique aux couleurs variées.,This store offers a wide range of synthetic fabrics in various colors.
rouge,La pomme est bien rouge et mûre.,The apple is very red and ripe.
rouge,Elle portait une belle robe rouge ce soir-là.,She wore a beautiful red dress that evening.
rouge,Le ciel devient rouge au coucher du soleil.,The sky turns red at sunset.
bleu / bleue,Le ciel était d'un bleu bleue incroyable ce matin.,The sky was an incredible shade of blue this morning.
bleu / bleue,"Sa robe était bleu bleue, assortie à ses yeux pétillants.","Her dress was a bright blue, matching her sparkling eyes."
bleu / bleue,Il a peint la mer en bleu bleue pour capturer sa beauté éclatante.,He painted the sea in bright blue to capture its stunning beauty.
vert / verte,La pomme que j'ai mangée était bien verte.,The apple I ate was very green.
vert / verte,Elle a choisi une robe vert clair pour la soirée.,She chose a light green dress for the evening.
vert / verte,"Le feu est passé au vert, tu peux traverser.","The light has turned green, you can cross."
jaune,Le soleil se couche et le ciel devient d'un jaune éclatant.,The sun is setting and the sky is turning a bright yellow.
jaune,J'ai acheté un pull jaune vif pour l'été.,I bought a bright yellow sweater for the summer.
jaune,Les feuilles jaunissent à l'approche de l'automne.,The leaves are turning yellow as autumn approaches.
noir / noire,La nuit était si noire noire que je ne voyais pas mes pieds.,The night was so dark that I couldn't see my feet.
noir / noire,Ses yeux étaient d'un noir noire qui capturait la lumière.,Her eyes were a deep black that captured the light.
noir / noire,Il portait un costume noir noire pour l'occasion.,He wore a black suit for the occasion.
blanc / blanche,La neige est d'un blanc éclatant ce matin.,The snow is a bright white this morning.
blanc / blanche,Elle a choisi une robe blanche pour le mariage.,She chose a white dress for the wedding.
blanc / blanche,Les murs de la galerie étaient peints en blanc pour mettre en valeur les œuvres.,The walls of the gallery were painted white to highlight the artworks.
gris / grise,"Le ciel est tout gris ce matin, j'espère que la pluie ne va pas durer.",The sky is all gray this morning; I hope the rain won't last.
gris / grise,"Elle a choisi une robe grise pour la soirée, elle lui va à merveille.","She chose a gray dress for the evening, it looks wonderful on her."
gris / grise,"Les murs de la chambre sont peints en gris, créant une ambiance apaisante.","The walls of the room are painted gray, creating a calming atmosphere."
marron,Les feuilles des arbres deviennent marron en automne.,The leaves of the trees turn brown in autumn.
marron,Il a acheté un canapé en cuir marron pour le salon.,He bought a brown leather sofa for the living room.
marron,"Ses yeux sont d'un marron profond, presque hypnotisant.","Her eyes are a deep brown, almost hypnotic."
rose,Elle a reçu un magnifique bouquet de roses pour son anniversaire.,She received a beautiful bouquet of roses for her birthday.
rose,Le ciel était teinté de rose au coucher du soleil.,The sky was tinted pink at sunset.
rose,"Il porte toujours des lunettes roses, il voit la vie de manière optimiste.",He always wears pink glasses; he sees life optimistically.
violet / violette,Le ciel était teinté d'un violet violette au crépuscule.,The sky was tinged with a violet hue at dusk.
violet / violette,Elle portait une robe d'un violet violette éclatant pour la soirée.,She wore a bright violet dress for the evening.
violet / violette,Les fleurs dans le jardin avaient des nuances de violet violette.,The flowers in the garden had shades of violet.
orange,Le chat a un pelage orange qui brille au soleil.,The cat has an orange coat that shines in the sun.
orange,Elle a acheté une écharpe orange pour l'hiver.,She bought an orange scarf for winter.
orange,Le coucher de soleil peint le ciel en orange et rose.,The sunset paints the sky orange and pink.
beige,J'ai acheté un canapé beige pour le salon.,I bought a beige sofa for the living room.
beige,Elle portait un manteau beige ce matin.,She was wearing a beige coat this morning.
beige,Les murs de la cuisine sont peints en beige clair.,The kitchen walls are painted light beige.
bleu marine,Elle porte une robe bleu marine pour le mariage.,She is wearing a navy blue dress for the wedding.
bleu marine,J'ai acheté un canapé bleu marine pour le salon.,I bought a navy blue sofa for the living room.
bleu marine,La mer avait une teinte bleu marine au coucher du soleil.,The sea had a navy blue hue at sunset.
bleu clair,Le ciel était d'un bleu clair éblouissant ce matin.,The sky was a dazzling light blue this morning.
bleu clair,Elle a choisi une robe bleu clair pour le mariage.,She chose a light blue dress for the wedding.
bleu clair,Les murs de sa chambre sont peints en bleu clair.,The walls of his room are painted light blue.
vert foncé,Elle a choisi une robe vert foncé pour le mariage.,She chose a dark green dress for the wedding.
vert foncé,Les murs de sa chambre sont peints en vert foncé.,The walls of his room are painted dark green.
vert foncé,J'ai acheté un pull vert foncé pour cet hiver.,I bought a dark green sweater for this winter.
le parapluie,J'ai pris le parapluie car il pleuvait ce matin.,I took the umbrella because it was raining this morning.
le parapluie,Elle a oublié son parapluie dans le train.,She forgot her umbrella on the train.
le parapluie,Le parapluie rouge est mon préféré.,The red umbrella is my favorite.
le bonnet,Elle a acheté un joli bonnet en laine pour l'hiver.,She bought a nice wool hat for winter.
le bonnet,Il a perdu son bonnet dans le parc hier.,He lost his hat in the park yesterday.
le bonnet,Ce bonnet rouge te va à ravir !,That red hat looks great on you!
le foulard,Elle porte un foulard coloré autour du cou.,She is wearing a colorful scarf around her neck.
le foulard,J'ai acheté un foulard en soie pour l'été.,I bought a silk scarf for the summer.
le foulard,"Il fait froid, je vais mettre mon foulard en laine.","It's cold, I'm going to put on my wool scarf."
l'étui à lunettes,J'ai oublié mon étui à lunettes sur la table du salon.,I left my glasses case on the coffee table.
l'étui à lunettes,Elle cherche désespérément son étui à lunettes dans son sac.,She is desperately searching for her glasses case in her bag.
l'étui à lunettes,Il a acheté un nouvel étui à lunettes en cuir hier.,He bought a new leather glasses case yesterday.
le porte-clés,J'ai accroché mon nouveau porte-clés à mon sac.,I attached my new keychain to my bag.
le porte-clés,Elle a perdu son porte-clés en ville hier soir.,She lost her keychain in town last night.
le porte-clés,Le porte-clés en forme de cœur est un cadeau de ma sœur.,The heart-shaped keychain is a gift from my sister.
l’épingle de cravate,Il a reçu une épingle de cravate en argent pour son anniversaire.,He received a silver tie pin for his birthday.
l’épingle de cravate,Je me suis rendu compte que j'avais oublié mon épingle de cravate à la maison.,I realized that I had forgotten my tie pin at home.
l’épingle de cravate,Son épingle de cravate brillait sous la lumière du soleil.,His tie pin shone in the sunlight.
la brosse à cheveux,Elle a oublié sa brosse à cheveux chez moi hier soir.,She forgot her hairbrush at my place last night.
la brosse à cheveux,J'ai acheté une nouvelle brosse à cheveux en bois.,I bought a new wooden hairbrush.
la brosse à cheveux,La brosse à cheveux est tombée derrière le meuble.,The hairbrush fell behind the furniture.
l’élastique pour les cheveux,J'ai perdu l'élastique pour les cheveux que je portais hier.,I lost the hair tie I was wearing yesterday.
l’élastique pour les cheveux,"Peux-tu me passer un élastique pour les cheveux, s'il te plaît ?","Can you pass me a hair tie, please?"
l’élastique pour les cheveux,Je cherche un élastique pour les cheveux dans mon sac.,I'm looking for a hair tie in my bag.
